a,b,winrate_a_vs_b,matches,ci_low,ci_high
Boros Energy,Boros Energy,0.5,52,0.36,0.64
Boros Energy,Affinity,0.65,20,0.41,0.85
Boros Energy,Domain Aggro,0.52,29,0.33,0.71
Boros Energy,Jeskai Control,0.53,17,0.28,0.77
Boros Energy,Izzet Prowess,0.74,19,0.49,0.91
Boros Energy,Ruby Storm,0.58,12,0.28,0.85
Boros Energy,Esper Reanimator,0.42,12,0.15,0.72
Boros Energy,Golgari Yawgmoth,0.64,11,0.31,0.89
Boros Energy,Tameshi Belcher,0.33,9,0.07,0.7
Boros Energy,Esper Phelia,0.44,16,0.2,0.7
Boros Energy,Amulet Titan,0.75,4,0.19,0.99
Boros Energy,Eldrazi Ramp,0.46,13,0.19,0.75
Boros Energy,Neoform,0.25,8,0.03,0.65
Boros Energy,Eldrazi Tron,0.6,5,0.15,0.95
Boros Energy,Azorius Control,0.57,7,0.18,0.9
Boros Energy,Simic Ritual,0.67,3,0.09,0.99
Boros Energy,Living End,0.67,6,0.22,0.96
Boros Energy,Samwise Combo,0.75,4,0.19,0.99
Boros Energy,Grixis Reanimator,0.67,6,0.22,0.96
Boros Energy,Mill,0.6,5,0.15,0.95
Boros Energy,Dimir Frog,0.0,1,0.0,0.98
Boros Energy,Eldrazi Bloodchief Combo,1.0,1,0.02,1.0
Boros Energy,Eldrazi Aggro,1.0,1,0.02,1.0
Boros Energy,Burn,0.0,1,0.0,0.98
Boros Energy,Dimir Control,1.0,2,0.16,1.0
Boros Energy,Temur Song,0.33,3,0.01,0.91
Boros Energy,Hollow One,0.33,3,0.01,0.91
Boros Energy,Jeskai Blink,0.33,3,0.01,0.91
Boros Energy,4 Color Ritual,1.0,2,0.16,1.0
Affinity,Boros Energy,0.35,20,0.15,0.59
Affinity,Affinity,0.5,20,0.27,0.73
Affinity,Domain Aggro,0.5,10,0.19,0.81
Affinity,Jeskai Control,0.36,11,0.11,0.69
Affinity,Izzet Prowess,0.57,7,0.18,0.9
Affinity,Ruby Storm,0.43,7,0.1,0.82
Affinity,Esper Reanimator,0.79,14,0.49,0.95
Affinity,Golgari Yawgmoth,0.43,7,0.1,0.82
Affinity,Tameshi Belcher,0.75,4,0.19,0.99
Affinity,Esper Phelia,0.5,4,0.07,0.93
Affinity,Amulet Titan,0.2,5,0.01,0.72
Affinity,Eldrazi Ramp,0.57,7,0.18,0.9
Affinity,Neoform,0.38,8,0.09,0.76
Affinity,Eldrazi Tron,0.2,5,0.01,0.72
Affinity,Azorius Control,0.67,3,0.09,0.99
Affinity,Simic Ritual,0.5,4,0.07,0.93
Affinity,Living End,1.0,1,0.02,1.0
Affinity,Samwise Combo,0.4,5,0.05,0.85
Affinity,Grixis Reanimator,1.0,2,0.16,1.0
Affinity,Mill,1.0,1,0.02,1.0
Affinity,Dimir Frog,1.0,1,0.02,1.0
Affinity,Eldrazi Bloodchief Combo,0.0,2,0.0,0.84
Affinity,Eldrazi Aggro,1.0,1,0.02,1.0
Affinity,Burn,1.0,1,0.02,1.0
Affinity,Dimir Control,1.0,1,0.02,1.0
Affinity,Temur Song,0.5,2,0.01,0.99
Affinity,Hollow One,0.33,3,0.01,0.91
Affinity,Hardened Scales,1.0,1,0.02,1.0
Affinity,Azorius Blink,1.0,2,0.16,1.0
Domain Aggro,Boros Energy,0.48,29,0.29,0.67
Domain Aggro,Affinity,0.5,10,0.19,0.81
Domain Aggro,Domain Aggro,0.5,10,0.19,0.81
Domain Aggro,Jeskai Control,0.63,8,0.24,0.91
Domain Aggro,Izzet Prowess,0.75,4,0.19,0.99
Domain Aggro,Ruby Storm,0.57,7,0.18,0.9
Domain Aggro,Esper Reanimator,0.4,5,0.05,0.85
Domain Aggro,Golgari Yawgmoth,0.5,4,0.07,0.93
Domain Aggro,Tameshi Belcher,1.0,1,0.02,1.0
Domain Aggro,Esper Phelia,1.0,3,0.29,1.0
Domain Aggro,Amulet Titan,0.5,6,0.12,0.88
Domain Aggro,Eldrazi Ramp,0.2,5,0.01,0.72
Domain Aggro,Neoform,0.33,3,0.01,0.91
Domain Aggro,Eldrazi Tron,0.75,8,0.35,0.97
Domain Aggro,Azorius Control,0.67,3,0.09,0.99
Domain Aggro,Simic Ritual,0.33,3,0.01,0.91
Domain Aggro,Living End,0.5,2,0.01,0.99
Domain Aggro,Samwise Combo,1.0,1,0.02,1.0
Domain Aggro,Grixis Reanimator,1.0,1,0.02,1.0
Domain Aggro,Mill,1.0,1,0.02,1.0
Domain Aggro,Dimir Frog,1.0,1,0.02,1.0
Domain Aggro,Eldrazi Bloodchief Combo,0.5,2,0.01,0.99
Domain Aggro,Burn,1.0,1,0.02,1.0
Domain Aggro,Infect,0.0,1,0.0,0.98
Domain Aggro,Temur Song,1.0,1,0.02,1.0
Domain Aggro,Hollow One,1.0,1,0.02,1.0
Domain Aggro,Jeskai Blink,0.0,1,0.0,0.98
Domain Aggro,Hardened Scales,0.0,1,0.0,0.98
Domain Aggro,Azorius Blink,0.5,2,0.01,0.99
Jeskai Control,Boros Energy,0.47,17,0.23,0.72
Jeskai Control,Affinity,0.64,11,0.31,0.89
Jeskai Control,Domain Aggro,0.38,8,0.09,0.76
Jeskai Control,Jeskai Control,0.5,2,0.01,0.99
Jeskai Control,Izzet Prowess,0.5,6,0.12,0.88
Jeskai Control,Ruby Storm,0.2,5,0.01,0.72
Jeskai Control,Esper Reanimator,0.5,2,0.01,0.99
Jeskai Control,Golgari Yawgmoth,0.25,4,0.01,0.81
Jeskai Control,Tameshi Belcher,0.14,7,0.0,0.58
Jeskai Control,Esper Phelia,0.0,1,0.0,0.98
Jeskai Control,Amulet Titan,0.0,3,0.0,0.71
Jeskai Control,Eldrazi Ramp,0.33,3,0.01,0.91
Jeskai Control,Neoform,0.33,3,0.01,0.91
Jeskai Control,Eldrazi Tron,0.4,5,0.05,0.85
Jeskai Control,Azorius Control,0.43,7,0.1,0.82
Jeskai Control,Simic Ritual,0.5,2,0.01,0.99
Jeskai Control,Samwise Combo,0.25,4,0.01,0.81
Jeskai Control,Dimir Frog,0.0,1,0.0,0.98
Jeskai Control,Eldrazi Aggro,0.5,2,0.01,0.99
Jeskai Control,Dimir Control,0.0,1,0.0,0.98
Jeskai Control,Temur Song,1.0,1,0.02,1.0
Jeskai Control,Jeskai Blink,1.0,1,0.02,1.0
Izzet Prowess,Boros Energy,0.26,19,0.09,0.51
Izzet Prowess,Affinity,0.43,7,0.1,0.82
Izzet Prowess,Domain Aggro,0.25,4,0.01,0.81
Izzet Prowess,Jeskai Control,0.5,6,0.12,0.88
Izzet Prowess,Esper Reanimator,0.0,1,0.0,0.98
Izzet Prowess,Golgari Yawgmoth,1.0,4,0.4,1.0
Izzet Prowess,Tameshi Belcher,0.75,4,0.19,0.99
Izzet Prowess,Esper Phelia,0.33,6,0.04,0.78
Izzet Prowess,Amulet Titan,0.5,2,0.01,0.99
Izzet Prowess,Eldrazi Ramp,0.0,2,0.0,0.84
Izzet Prowess,Neoform,0.2,5,0.01,0.72
Izzet Prowess,Eldrazi Tron,0.33,3,0.01,0.91
Izzet Prowess,Azorius Control,0.33,3,0.01,0.91
Izzet Prowess,Simic Ritual,0.0,1,0.0,0.98
Izzet Prowess,Living End,0.0,1,0.0,0.98
Izzet Prowess,Samwise Combo,0.0,1,0.0,0.98
Izzet Prowess,Grixis Reanimator,0.75,4,0.19,0.99
Izzet Prowess,Mill,1.0,1,0.02,1.0
Izzet Prowess,Dimir Frog,0.5,2,0.01,0.99
Izzet Prowess,Eldrazi Bloodchief Combo,1.0,1,0.02,1.0
Izzet Prowess,Eldrazi Aggro,1.0,1,0.02,1.0
Izzet Prowess,Burn,0.0,1,0.0,0.98
Izzet Prowess,Dimir Control,0.0,1,0.0,0.98
Izzet Prowess,Infect,0.5,2,0.01,0.99
Izzet Prowess,Azorius Blink,0.0,1,0.0,0.98
Ruby Storm,Boros Energy,0.42,12,0.15,0.72
Ruby Storm,Affinity,0.57,7,0.18,0.9
Ruby Storm,Domain Aggro,0.43,7,0.1,0.82
Ruby Storm,Jeskai Control,0.8,5,0.28,0.99
Ruby Storm,Ruby Storm,0.5,6,0.12,0.88
Ruby Storm,Esper Reanimator,0.4,5,0.05,0.85
Ruby Storm,Golgari Yawgmoth,0.0,2,0.0,0.84
Ruby Storm,Tameshi Belcher,0.0,4,0.0,0.6
Ruby Storm,Esper Phelia,0.5,2,0.01,0.99
Ruby Storm,Amulet Titan,0.75,4,0.19,0.99
Ruby Storm,Eldrazi Ramp,1.0,2,0.16,1.0
Ruby Storm,Eldrazi Tron,0.33,3,0.01,0.91
Ruby Storm,Simic Ritual,0.33,3,0.01,0.91
Ruby Storm,Living End,1.0,1,0.02,1.0
Ruby Storm,Samwise Combo,0.67,3,0.09,0.99
Ruby Storm,Grixis Reanimator,1.0,1,0.02,1.0
Ruby Storm,Mill,1.0,1,0.02,1.0
Ruby Storm,Eldrazi Bloodchief Combo,1.0,1,0.02,1.0
Ruby Storm,Eldrazi Aggro,1.0,1,0.02,1.0
Ruby Storm,Burn,1.0,1,0.02,1.0
Ruby Storm,Dimir Control,1.0,2,0.16,1.0
Ruby Storm,Jeskai Blink,1.0,1,0.02,1.0
Ruby Storm,4 Color Ritual,0.0,1,0.0,0.98
Esper Reanimator,Boros Energy,0.58,12,0.28,0.85
Esper Reanimator,Affinity,0.21,14,0.05,0.51
Esper Reanimator,Domain Aggro,0.6,5,0.15,0.95
Esper Reanimator,Jeskai Control,0.5,2,0.01,0.99
Esper Reanimator,Izzet Prowess,1.0,1,0.02,1.0
Esper Reanimator,Ruby Storm,0.6,5,0.15,0.95
Esper Reanimator,Golgari Yawgmoth,0.5,4,0.07,0.93
