event_id,deck_id,player_name,rank,deck_part,card_name,quantity
,deck_7,Broa,,mainboard,Arbor Elf,4
,deck_7,Broa,,mainboard,Avenging Hunter,4
,deck_7,Broa,,mainboard,Bannerhide Krushok,2
,deck_7,Broa,,mainboard,Boarding Party,4
,deck_7,Broa,,mainboard,Eldrazi Repurposer,4
,deck_7,Broa,,mainboard,Forest,14
,deck_7,Broa,,mainboard,Jewel Thief,4
,deck_7,Broa,,mainboard,Malevolent Rumble,4
,deck_7,Broa,,mainboard,Mountain,2
,deck_7,Broa,,mainboard,Nyxborn Hydra,2
,deck_7,Broa,,mainboard,Ram Through,3
,deck_7,Broa,,mainboard,Sagu Wildling,2
,deck_7,Broa,,mainboard,Writhing Chrysalis,4
,deck_7,Broa,,mainboard,Wild Growth,3
,deck_7,Broa,,mainboard,Utopia Sprawl,4
,deck_7,Broa,,sideboard,Breath Weapon,2
,deck_7,Broa,,sideboard,Deglamer,2
,deck_7,Broa,,sideboard,Weather the Storm,4
,deck_7,Broa,,sideboard,Cast into the Fire,2
,deck_7,Broa,,sideboard,Fiery Cannonade,1
,deck_7,Broa,,sideboard,Relic of Progenitus,4
