a,b,winrate_a_vs_b,matches,ci_low,ci_high
Mono Red Madness,Mono Red Madness,0.5,52,0.36,0.64
Mono Red Madness,Elves,0.78,32,0.6,0.91
Mono Red Madness,Mono Blue Terror,0.35,34,0.2,0.54
Mono Red Madness,Grixis Affinity,0.5,26,0.3,0.7
Mono Red Madness,Jund Wildfire,0.48,21,0.26,0.7
Mono Red Madness,Rakdos Madness,0.5,22,0.28,0.72
Mono Red Madness,Mono Red Rally,0.21,19,0.06,0.46
Mono Red Madness,Gruul Ramp,0.64,11,0.31,0.89
Mono Red Madness,Mono Blue Faeries,0.46,24,0.26,0.67
Mono Red Madness,Caw Gates,0.36,14,0.13,0.65
Mono Red Madness,UB Faeries,0.39,18,0.17,0.64
Mono Red Madness,White Weenie,0.67,15,0.38,0.88
Mono Red Madness,Dimir Terror,0.33,12,0.1,0.65
Mono Red Madness,Golgari Gardens,0.45,11,0.17,0.77
Mono Red Madness,Spy Combo,0.71,7,0.29,0.96
Mono Red Madness,UWx Familiar,0.42,12,0.15,0.72
Mono Red Madness,GW Bogles,0.31,13,0.09,0.61
Mono Red Madness,Monster Tron,0.4,5,0.05,0.85
Mono Red Madness,Dredge,0.33,3,0.01,0.91
Mono Red Madness,Orzhov Blade,1.0,4,0.4,1.0
Mono Red Madness,Mono Red Synthesizer,0.0,4,0.0,0.6
Mono Red Madness,Gruul Ponza,1.0,5,0.48,1.0
Mono Red Madness,Mono Red Burn,1.0,3,0.29,1.0
Mono Red Madness,Mono Black Sacrifice,0.5,2,0.01,0.99
Mono Red Madness,Red Storm,0.0,3,0.0,0.71
Mono Red Madness,Jeskai Ephemerate,0.67,3,0.09,0.99
Mono Red Madness,Esper Affinity,0.0,2,0.0,0.84
Mono Red Madness,Defender Combo,1.0,1,0.02,1.0
Mono Red Madness,Altar Tron,1.0,1,0.02,1.0
Mono Red Madness,Dimir Affinity,0.5,2,0.01,0.99
Mono Red Madness,Izzet Faeries,0.5,2,0.01,0.99
Mono Red Madness,Retriever Combo,1.0,3,0.29,1.0
Mono Red Madness,Dimir Control,0.0,1,0.0,0.98
Mono Red Madness,Mono Red Kiln Fiend,1.0,2,0.16,1.0
Mono Red Madness,Slivers,1.0,2,0.16,1.0
Elves,Mono Red Madness,0.22,32,0.09,0.4
Elves,Elves,0.5,18,0.26,0.74
Elves,Mono Blue Terror,0.75,24,0.53,0.9
Elves,Grixis Affinity,0.73,15,0.45,0.92
Elves,Jund Wildfire,0.5,20,0.27,0.73
Elves,Rakdos Madness,0.71,14,0.42,0.92
Elves,Mono Red Rally,0.53,19,0.29,0.76
Elves,Gruul Ramp,0.76,17,0.5,0.93
Elves,Mono Blue Faeries,0.54,13,0.25,0.81
Elves,Caw Gates,0.5,8,0.16,0.84
Elves,UB Faeries,0.58,12,0.28,0.85
Elves,White Weenie,0.67,6,0.22,0.96
Elves,Dimir Terror,1.0,3,0.29,1.0
Elves,Golgari Gardens,0.63,8,0.24,0.91
Elves,Spy Combo,0.63,8,0.24,0.91
Elves,UWx Familiar,0.5,16,0.25,0.75
Elves,GW Bogles,0.75,4,0.19,0.99
Elves,Monster Tron,1.0,1,0.02,1.0
Elves,Dredge,0.5,6,0.12,0.88
Elves,Orzhov Blade,0.75,4,0.19,0.99
Elves,Mono Red Synthesizer,0.5,4,0.07,0.93
Elves,Gruul Ponza,0.0,1,0.0,0.98
Elves,Mono Red Burn,0.5,2,0.01,0.99
Elves,Red Storm,0.11,9,0.0,0.48
Elves,Jeskai Ephemerate,1.0,1,0.02,1.0
Elves,Esper Affinity,1.0,3,0.29,1.0
Elves,Defender Combo,0.5,2,0.01,0.99
Elves,Boros Bully,1.0,1,0.02,1.0
Elves,Boros Synthesizer,0.0,2,0.0,0.84
Elves,Altar Tron,1.0,1,0.02,1.0
Elves,Dimir Affinity,0.75,4,0.19,0.99
Elves,Dimir Control,0.0,2,0.0,0.84
Elves,Mono Red Kiln Fiend,0.0,1,0.0,0.98
Elves,Slivers,0.0,1,0.0,0.98
Mono Blue Terror,Mono Red Madness,0.65,34,0.46,0.8
Mono Blue Terror,Elves,0.25,24,0.1,0.47
Mono Blue Terror,Mono Blue Terror,0.5,18,0.26,0.74
Mono Blue Terror,Grixis Affinity,0.44,16,0.2,0.7
Mono Blue Terror,Jund Wildfire,0.26,19,0.09,0.51
Mono Blue Terror,Rakdos Madness,0.31,16,0.11,0.59
Mono Blue Terror,Mono Red Rally,0.25,12,0.05,0.57
Mono Blue Terror,Gruul Ramp,0.5,8,0.16,0.84
Mono Blue Terror,Mono Blue Faeries,0.36,11,0.11,0.69
Mono Blue Terror,Caw Gates,0.4,10,0.12,0.74
Mono Blue Terror,UB Faeries,0.3,10,0.07,0.65
Mono Blue Terror,White Weenie,0.42,12,0.15,0.72
Mono Blue Terror,Dimir Terror,0.38,8,0.09,0.76
Mono Blue Terror,Golgari Gardens,0.43,7,0.1,0.82
Mono Blue Terror,Spy Combo,0.38,8,0.09,0.76
Mono Blue Terror,UWx Familiar,0.38,8,0.09,0.76
Mono Blue Terror,GW Bogles,0.86,7,0.42,1.0
Mono Blue Terror,Monster Tron,0.2,5,0.01,0.72
Mono Blue Terror,Dredge,0.5,4,0.07,0.93
Mono Blue Terror,Orzhov Blade,0.33,3,0.01,0.91
Mono Blue Terror,Mono Red Synthesizer,1.0,5,0.48,1.0
Mono Blue Terror,Gruul Ponza,0.0,1,0.0,0.98
Mono Blue Terror,Mono Red Burn,0.5,2,0.01,0.99
Mono Blue Terror,Red Storm,1.0,2,0.16,1.0
Mono Blue Terror,Jeskai Ephemerate,0.0,1,0.0,0.98
Mono Blue Terror,Esper Affinity,0.0,1,0.0,0.98
Mono Blue Terror,Defender Combo,0.5,2,0.01,0.99
Mono Blue Terror,Boros Bully,0.0,1,0.0,0.98
Mono Blue Terror,Boros Synthesizer,0.5,2,0.01,0.99
Mono Blue Terror,Altar Tron,0.33,3,0.01,0.91
Mono Blue Terror,Dimir Affinity,1.0,1,0.02,1.0
Mono Blue Terror,Izzet Faeries,1.0,1,0.02,1.0
Mono Blue Terror,Retriever Combo,1.0,3,0.29,1.0
Mono Blue Terror,Mono Red Kiln Fiend,0.0,1,0.0,0.98
Mono Blue Terror,Slivers,1.0,1,0.02,1.0
Grixis Affinity,Mono Red Madness,0.5,26,0.3,0.7
Grixis Affinity,Elves,0.27,15,0.08,0.55
Grixis Affinity,Mono Blue Terror,0.56,16,0.3,0.8
Grixis Affinity,Grixis Affinity,0.5,12,0.21,0.79
Grixis Affinity,Jund Wildfire,0.58,12,0.28,0.85
Grixis Affinity,Rakdos Madness,0.57,14,0.29,0.82
Grixis Affinity,Mono Red Rally,0.29,17,0.1,0.56
Grixis Affinity,Gruul Ramp,0.33,9,0.07,0.7
Grixis Affinity,Mono Blue Faeries,0.38,8,0.09,0.76
Grixis Affinity,Caw Gates,0.36,11,0.11,0.69
Grixis Affinity,UB Faeries,0.33,9,0.07,0.7
Grixis Affinity,White Weenie,0.5,6,0.12,0.88
Grixis Affinity,Dimir Terror,0.5,8,0.16,0.84
Grixis Affinity,Golgari Gardens,0.64,11,0.31,0.89
Grixis Affinity,Spy Combo,0.14,7,0.0,0.58
Grixis Affinity,UWx Familiar,0.4,5,0.05,0.85
Grixis Affinity,GW Bogles,0.0,3,0.0,0.71
Grixis Affinity,Monster Tron,0.0,3,0.0,0.71
Grixis Affinity,Dredge,0.25,4,0.01,0.81
Grixis Affinity,Orzhov Blade,0.2,5,0.01,0.72
Grixis Affinity,Mono Red Synthesizer,1.0,2,0.16,1.0
Grixis Affinity,Gruul Ponza,1.0,1,0.02,1.0
