archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Mono Red Madness,0.5067842605156,4422,0.49,0.52,/Pauper/mono-red-madness
Mono Blue Terror,0.48282535074988,4134,0.47,0.5,/Pauper/mono-blue-terror
Jund Wildfire,0.50565262076053,2919,0.49,0.52,/Pauper/jund-wildfire
Rakdos Madness,0.48168624740843,2894,0.46,0.5,/Pauper/rakdos-madness
Mono Red Rally,0.5351617440225,2844,0.52,0.55,/Pauper/mono-red-rally
Grixis Affinity,0.51209677419355,2480,0.49,0.53,/Pauper/grixis-affinity
Mono Blue Faeries,0.53113879003559,2248,0.51,0.55,/Pauper/mono-blue-faeries
Elves,0.55565735226752,2183,0.53,0.58,/Pauper/elves
Spy Combo,0.56723338485317,1941,0.54,0.59,/Pauper/spy-combo
Gruul Ramp,0.53110297961317,1913,0.51,0.55,/Pauper/gruul-ramp
White Weenie,0.52686084142395,1545,0.5,0.55,/Pauper/white-weenie
UB Faeries,0.50755287009063,1324,0.48,0.53,/Pauper/ub-faeries
Mono Black Sacrifice,0.47902684563758,1192,0.45,0.51,/Pauper/mono-black-sacrifice
Caw Gates,0.57525951557093,1156,0.55,0.6,/Pauper/caw-gates
Esper Affinity,0.494555353902,1102,0.46,0.52,/Pauper/esper-affinity
Golgari Gardens,0.5088868101029,1069,0.48,0.54,/Pauper/golgari-gardens
UWx Familiar,0.5004812319538,1039,0.47,0.53,/Pauper/uwx-familiar
Dimir Terror,0.49015317286652,914,0.46,0.52,/Pauper/dimir-terror
GW Bogles,0.45993413830955,911,0.43,0.49,/Pauper/gw-bogles
Gruul Ponza,0.53360768175583,729,0.5,0.57,/Pauper/gruul-ponza
Altar Tron,0.48917748917749,693,0.45,0.53,/Pauper/altar-tron
Mono Red Synthesizer,0.51208459214502,662,0.47,0.55,/Pauper/mono-red-synthesizer
Izzet Skred,0.48295454545455,528,0.44,0.53,/Pauper/izzet-skred
Orzhov Blade,0.48024948024948,481,0.43,0.53,/Pauper/orzhov-blade
Flicker Tron,0.44514767932489,474,0.4,0.49,/Pauper/flicker-tron
Jeskai Ephemerate,0.52136752136752,468,0.48,0.57,/Pauper/jeskai-ephemerate
Mono White Heroic,0.48380129589633,463,0.44,0.53,/Pauper/mono-white-heroic
Dredge,0.47317073170732,410,0.42,0.52,/Pauper/dredge
Defender Combo,0.55080213903743,374,0.5,0.6,/Pauper/defender-combo
Boros Synthesizer,0.49546827794562,331,0.44,0.55,/Pauper/boros-synthesizer
Mardu Metalcraft,0.48297213622291,323,0.43,0.54,/Pauper/mardu-metalcraft
Jeskai Metalcraft,0.55290102389078,293,0.49,0.61,/Pauper/jeskai-metalcraft
