archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Boros Energy,0.53298222514812,7595,0.52,0.54,/Modern/boros-energy
Jeskai Blink,0.50309960049594,7259,0.49,0.51,/Modern/jeskai-blink
Amulet Titan,0.51849033632628,6571,0.51,0.53,/Modern/amulet-titan
Izzet Prowess,0.48864774624374,5990,0.48,0.5,/Modern/izzet-prowess
Affinity,0.52937050675083,5703,0.52,0.54,/Modern/affinity
Esper Reanimator,0.49255533199195,4970,0.48,0.51,/Modern/esper-reanimator
Domain Aggro,0.50732779677577,4094,0.49,0.52,/Modern/domain-aggro
Esper Phelia,0.48940754039497,2785,0.47,0.51,/Modern/esper-phelia
Eldrazi Tron,0.48253713368125,2491,0.46,0.5,/Modern/eldrazi-tron
Tameshi Belcher,0.48346738159071,2238,0.46,0.5,/Modern/tameshi-belcher
Eldrazi Bloodchief Combo,0.52820053715309,2234,0.51,0.55,/Modern/eldrazi-bloodchief-combo
Simic Ritual,0.53654024051804,2162,0.52,0.56,/Modern/simic-ritual
Eldrazi Ramp,0.48566792861006,1849,0.46,0.51,/Modern/eldrazi-ramp
Ruby Storm,0.50570962479608,1839,0.48,0.53,/Modern/ruby-storm
Azorius Control,0.49301675977654,1432,0.47,0.52,/Modern/azorius-control
Neoform,0.51364063969897,1063,0.48,0.54,/Modern/neoform
Dimir Frog,0.48323699421965,865,0.45,0.52,/Modern/dimir-frog
Azorius Blink,0.4931693989071,732,0.46,0.53,/Modern/azorius-blink
Golgari Yawgmoth,0.51098096632504,683,0.47,0.55,/Modern/golgari-yawgmoth
Mill,0.41616766467066,668,0.38,0.45,/Modern/mill
Jeskai Control,0.48242811501597,626,0.44,0.52,/Modern/jeskai-control
Samwise Combo,0.49081803005008,599,0.45,0.53,/Modern/samwise-combo
Grixis Reanimator,0.45057034220532,526,0.41,0.49,/Modern/grixis-reanimator
Living End,0.46174142480211,379,0.41,0.51,/Modern/living-end
Mono Blue Tron,0.42777777777778,360,0.38,0.48,/Modern/mono-blue-tron
Eldrazi Aggro,0.49382716049383,324,0.44,0.55,/Modern/eldrazi-aggro
Orzhov Blink,0.47014925373134,268,0.41,0.53,/Modern/orzhov-blink
Izzet Metalcraft,0.56928838951311,267,0.51,0.63,/Modern/izzet-metalcraft
Merfolk,0.45525291828794,257,0.39,0.52,/Modern/merfolk
4 Color Ritual,0.53138075313808,239,0.47,0.6,/Modern/4-color-ritual
Esper Frog,0.46330275229358,218,0.4,0.53,/Modern/esper-frog
Hollow One,0.42439024390244,205,0.36,0.5,/Modern/hollow-one
Burn,0.34090909090909,176,0.27,0.42,/Modern/burn
4 Color Omnath,0.47674418604651,172,0.4,0.55,/Modern/4-color-omnath
Dredge,0.30994152046784,171,0.24,0.39,/Modern/dredge
Grixis Frog,0.50588235294118,170,0.43,0.58,/Modern/grixis-frog
Izzet Control,0.55194805194805,154,0.47,0.63,/Modern/izzet-control
Hammer Time,0.38815789473684,152,0.31,0.47,/Modern/hammer-time
Temur Song,0.49315068493151,146,0.41,0.58,/Modern/temur-song
Mardu Energy,0.41984732824427,131,0.33,0.51,/Modern/mardu-energy
Mono Black Necrodominance,0.48854961832061,131,0.4,0.58,/Modern/mono-black-necrodominance
Jund Saga,0.46666666666667,120,0.38,0.56,/Modern/jund-saga
Jeskai Ascendancy,0.54700854700855,117,0.45,0.64,/Modern/jeskai-ascendancy
Bant Ritual,0.45299145299145,117,0.36,0.55,/Modern/bant-ritual
Eldrazi Breach,0.4392523364486,107,0.34,0.54,/Modern/eldrazi-breach
Izzet Wizards,0.47572815533981,103,0.38,0.58,/Modern/izzet-wizards
Kethis Combo,0.63157894736842,95,0.53,0.73,/Modern/kethis-combo
Red Belcher,0.33695652173913,92,0.24,0.44,/Modern/red-belcher
Dimir Necrodominance,0.50617283950617,81,0.39,0.62,/Modern/dimir-necrodominance
Boros Wildfire,0.57142857142857,70,0.45,0.69,/Modern/boros-wildfire
Mono Green Tron,0.40579710144928,69,0.29,0.53,/Modern/mono-green-tron
Infect,0.28571428571429,63,0.18,0.41,/Modern/infect
Bant Ephemerate,0.49206349206349,63,0.36,0.62,/Modern/bant-ephemerate
Izzet Murktide,0.50793650793651,63,0.38,0.64,/Modern/izzet-murktide
Jund Creativity,0.50793650793651,63,0.38,0.64,/Modern/jund-creativity
Splinter Twin,0.46774193548387,62,0.34,0.6,/Modern/splinter-twin
Dimir Control,0.41379310344828,58,0.29,0.55,/Modern/dimir-control
Soultrader,0.48275862068966,58,0.35,0.62,/Modern/soultrader
Jeskai Ocelot,0.45614035087719,57,0.32,0.59,/Modern/jeskai-ocelot
Grixis Control,0.34615384615385,52,0.22,0.49,/Modern/grixis-control
Lantern Control,0.3469387755102,49,0.22,0.5,/Modern/lantern-control
Jeskai Prowess,0.45833333333333,48,0.31,0.61,/Modern/jeskai-prowess
Esper Blink,0.36170212765957,47,0.23,0.51,/Modern/esper-blink
Mono Black Bones,0.42553191489362,47,0.28,0.58,/Modern/mono-black-bones
Goblins,0.42222222222222,45,0.28,0.58,/Modern/goblins
Mono Red Prowess,0.41463414634146,41,0.26,0.58,/Modern/mono-red-prowess
Humans,0.5,40,0.34,0.66,/Modern/humans
Golgari Saga,0.45,40,0.29,0.62,/Modern/golgari-saga
Mono White Control,0.55263157894737,38,0.38,0.71,/Modern/mono-white-control
