archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Goblins,0.50430622009569,1045,0.47,0.54,/Premodern/goblins
Stiflenought,0.53188929001203,831,0.5,0.57,/Premodern/stiflenought
Burn,0.48897058823529,816,0.45,0.52,/Premodern/burn
Landstill,0.49816176470588,544,0.46,0.54,/Premodern/landstill
Enchantress,0.62476547842401,533,0.58,0.67,/Premodern/enchantress
Terrageddon,0.57259713701431,489,0.53,0.62,/Premodern/terrageddon
Mono Black,0.48853211009174,436,0.44,0.54,/Premodern/mono-black
Elves,0.55733333333333,375,0.51,0.61,/Premodern/elves
Stasis,0.52786885245902,305,0.47,0.59,/Premodern/stasis
Replenish,0.61245674740484,289,0.55,0.67,/Premodern/replenish
Psychatog,0.41666666666667,288,0.36,0.48,/Premodern/psychatog
BW Control,0.48754448398577,281,0.43,0.55,/Premodern/bw-control
The Rock,0.48148148148148,270,0.42,0.54,/Premodern/the-rock
Madness,0.4,270,0.34,0.46,/Premodern/madness
Oath Ponza,0.56451612903226,248,0.5,0.63,/Premodern/oath-ponza
Reanimator,0.42436974789916,238,0.36,0.49,/Premodern/reanimator
Devourer Combo,0.5938864628821,229,0.53,0.66,/Premodern/devourer-combo
Gro-a-Tog,0.53588516746411,209,0.47,0.6,/Premodern/gro-a-tog
Tide Control,0.61881188118812,202,0.55,0.69,/Premodern/tide-control
Pit Rack,0.49468085106383,188,0.42,0.57,/Premodern/pit-rack
Zoo,0.41573033707865,178,0.34,0.49,/Premodern/zoo
Aluren,0.51136363636364,176,0.44,0.59,/Premodern/aluren
Full English Breakfast,0.54285714285714,175,0.47,0.62,/Premodern/full-english-breakfast
The Solution,0.5030303030303,165,0.42,0.58,/Premodern/the-solution
Contamination,0.48666666666667,150,0.4,0.57,/Premodern/contamination
White Weenie,0.47972972972973,148,0.4,0.56,/Premodern/white-weenie
Deadguy Ale,0.36054421768707,147,0.28,0.44,/Premodern/deadguy-ale
Survival,0.55714285714286,140,0.47,0.64,/Premodern/survival
MUD,0.47445255474453,137,0.39,0.56,/Premodern/mud
UW Control,0.50806451612903,124,0.42,0.6,/Premodern/uw-control
Ponza,0.4537037037037,108,0.36,0.55,/Premodern/ponza
Clerics,0.49056603773585,106,0.39,0.59,/Premodern/clerics
Tinker Welder,0.49056603773585,106,0.39,0.59,/Premodern/tinker-welder
Survival Opposition,0.56190476190476,105,0.46,0.66,/Premodern/survival-opposition
Machine Head,0.44554455445545,101,0.35,0.55,/Premodern/machine-head
Storm,0.3010752688172,93,0.21,0.4,/Premodern/storm
Oath Spec,0.52173913043478,92,0.42,0.63,/Premodern/oath-spec
Survival Infestation,0.53333333333333,90,0.43,0.64,/Premodern/survival-infestation
GW Madness,0.50574712643678,87,0.4,0.61,/Premodern/gw-madness
Angry Hermit,0.5375,80,0.42,0.65,/Premodern/angry-hermit
Tireless Tribe Combo,0.56962025316456,79,0.45,0.68,/Premodern/tireless-tribe-combo
Zombie Infestation,0.45205479452055,73,0.34,0.57,/Premodern/zombie-infestation
Iggy Pop,0.39655172413793,58,0.27,0.53,/Premodern/iggy-pop
Astral Slide,0.36363636363636,55,0.24,0.5,/Premodern/astral-slide
Slivers,0.42307692307692,52,0.29,0.57,/Premodern/slivers
Temping Rack,0.3469387755102,49,0.22,0.5,/Premodern/temping-rack
GR Aggro,0.375,48,0.24,0.53,/Premodern/gr-aggro
Mono Green Stompy,0.5,48,0.35,0.65,/Premodern/mono-green-stompy
UW Midrange,0.65217391304348,46,0.5,0.79,/Premodern/uw-midrange
Survival Welder,0.36585365853659,41,0.22,0.53,/Premodern/survival-welder
The Rack,0.51219512195122,41,0.35,0.67,/Premodern/the-rack
Lands,0.35294117647059,34,0.2,0.54,/Premodern/lands
Rebels,0.54545454545455,33,0.36,0.72,/Premodern/rebels
Survival Rock,0.40625,32,0.24,0.59,/Premodern/survival-rock
Suicide,0.4375,32,0.26,0.62,/Premodern/suicide
BUG Control,0.48387096774194,31,0.3,0.67,/Premodern/bug-control
Dream Halls,0.45161290322581,31,0.27,0.64,/Premodern/dream-halls
Fluctuator,0.46666666666667,30,0.28,0.66,/Premodern/fluctuator
UR Control,0.37931034482759,29,0.21,0.58,/Premodern/ur-control
Oath Control,0.37931034482759,29,0.21,0.58,/Premodern/oath-control
Fires,0.32142857142857,28,0.16,0.52,/Premodern/fires
Zombies,0.34615384615385,26,0.17,0.56,/Premodern/zombies
Jund,0.5,26,0.3,0.7,/Premodern/jund
Broccoli Soup,0.34615384615385,26,0.17,0.56,/Premodern/broccoli-soup
Oath,0.48,25,0.28,0.69,/Premodern/oath
Threshold,0.34782608695652,23,0.16,0.57,/Premodern/threshold
Sneak Attack,0.40909090909091,22,0.21,0.64,/Premodern/sneak-attack
Mono Black Ponza,0.47619047619048,21,0.26,0.7,/Premodern/mono-black-ponza
Tron,0.47368421052632,19,0.24,0.71,/Premodern/tron
Merfolks,0.10526315789474,19,0.01,0.33,/Premodern/merfolks
Life,0.44444444444444,18,0.22,0.69,/Premodern/life
GW Midrange,0.27777777777778,18,0.1,0.53,/Premodern/gw-midrange
UWB Control,0.52941176470588,17,0.28,0.77,/Premodern/uwb-control
