archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Dimir Tempo,0.51724137931034,116,0.42,0.61,/Legacy/dimir-tempo
Eldrazi Stompy,0.546875,64,0.42,0.67,/Legacy/eldrazi-stompy
Aluren,0.48333333333333,60,0.35,0.62,/Legacy/aluren
Izzet Cutter,0.6078431372549,51,0.46,0.74,/Legacy/izzet-cutter
Death & Taxes,0.66,50,0.51,0.79,/Legacy/death-taxes
Painter Grindstone,0.51020408163265,49,0.36,0.66,/Legacy/painter-grindstone
Lands.dec,0.55555555555556,45,0.4,0.7,/Legacy/lands-dec
Mono Red Prison,0.5,42,0.34,0.66,/Legacy/mono-red-prison
UWx Stoneblade,0.60975609756098,41,0.45,0.76,/Legacy/uwx-stoneblade
Oops! All Spells,0.425,40,0.27,0.59,/Legacy/oops-all-spells
Doomsday,0.525,40,0.36,0.68,/Legacy/doomsday
UWx Control,0.34210526315789,38,0.2,0.51,/Legacy/uwx-control
Mystic Forge Combo,0.46875,32,0.29,0.65,/Legacy/mystic-forge-combo
Domain Beanstalk,0.45161290322581,31,0.27,0.64,/Legacy/domain-beanstalk
Affinity,0.46666666666667,30,0.28,0.66,/Legacy/affinity
Sneak and Show,0.48,25,0.28,0.69,/Legacy/sneak-and-show
Reanimator,0.58333333333333,24,0.37,0.78,/Legacy/reanimator
The EPIC Storm,0.45833333333333,24,0.26,0.67,/Legacy/the-epic-storm
Cradle Control,0.45833333333333,24,0.26,0.67,/Legacy/cradle-control
Ruby Storm,0.52173913043478,23,0.31,0.73,/Legacy/ruby-storm
Bant Beanstalk,0.52173913043478,23,0.31,0.73,/Legacy/bant-beanstalk
Boros Energy,0.73913043478261,23,0.52,0.9,/Legacy/boros-energy
Show and Tell,0.65,20,0.41,0.85,/Legacy/show-and-tell
Mardu Ocelot,0.5,20,0.27,0.73,/Legacy/mardu-ocelot
Goblins,0.375,16,0.15,0.65,/Legacy/goblins
Burn,0.375,16,0.15,0.65,/Legacy/burn
Cephalid Breakfast,0.64285714285714,14,0.35,0.87,/Legacy/cephalid-breakfast
UR Tempo,0.38461538461538,13,0.14,0.68,/Legacy/ur-tempo
Grixis Tempo,0.38461538461538,13,0.14,0.68,/Legacy/grixis-tempo
GWx Depths,0.33333333333333,12,0.1,0.65,/Legacy/gwx-depths
Rakdos Moonshadow,0.41666666666667,12,0.15,0.72,/Legacy/rakdos-moonshadow
Mono Black,0.54545454545455,11,0.23,0.83,/Legacy/mono-black
Mono Black Helm,0.27272727272727,11,0.06,0.61,/Legacy/mono-black-helm
Maverick,0.1,10,0.0,0.45,/Legacy/maverick
Blue Cloudpost,0.22222222222222,9,0.03,0.6,/Legacy/blue-cloudpost
Ad Nauseam Tendrils,0.75,8,0.35,0.97,/Legacy/ad-nauseam-tendrils
Naya Initiative,0.57142857142857,7,0.18,0.9,/Legacy/naya-initiative
Nic Fit,0.5,6,0.12,0.88,/Legacy/nic-fit
Green Post,0.5,6,0.12,0.88,/Legacy/green-post
UBx Death's Shadow,0.66666666666667,6,0.22,0.96,/Legacy/ubx-death-s-shadow
Gruul Lumberjack,0.33333333333333,6,0.04,0.78,/Legacy/gruul-lumberjack
Mind's Desire,0.33333333333333,6,0.04,0.78,/Legacy/mind-s-desire
Mono Black Necro,0.33333333333333,6,0.04,0.78,/Legacy/mono-black-necro
Dredge,0.6,5,0.15,0.95,/Legacy/dredge
Smallpox,0.4,5,0.05,0.85,/Legacy/smallpox
Bant Control,0.4,5,0.05,0.85,/Legacy/bant-control
Loam Pox,0.2,5,0.01,0.72,/Legacy/loam-pox
BUG,0.75,4,0.19,0.99,/Legacy/bug
Hogaak,0.5,4,0.07,0.93,/Legacy/hogaak
Creative Technique,0.25,4,0.01,0.81,/Legacy/creative-technique
Dark Depths,0.33333333333333,3,0.01,0.91,/Legacy/dark-depths
Slivers,0.33333333333333,3,0.01,0.91,/Legacy/slivers
Salvager Combo,1.0,3,0.29,1.0,/Legacy/salvager-combo
Stiflenought,1.0,3,0.29,1.0,/Legacy/stiflenought
Sultai Beanstalk,0.66666666666667,3,0.09,0.99,/Legacy/sultai-beanstalk
Merfolk,0.5,2,0.01,0.99,/Legacy/merfolk
Temur Tempo,0.5,2,0.01,0.99,/Legacy/temur-tempo
