a,b,winrate_a_vs_b,matches,ci_low,ci_high
Dimir Tempo,Dimir Tempo,0.5,286,0.44,0.56
Dimir Tempo,Izzet Cutter,0.55,231,0.49,0.62
Dimir Tempo,Mystic Forge Combo,0.52,141,0.43,0.6
Dimir Tempo,Eldrazi Stompy,0.49,146,0.4,0.57
Dimir Tempo,Lands.dec,0.38,111,0.29,0.48
Dimir Tempo,Sneak and Show,0.65,96,0.54,0.74
Dimir Tempo,Show and Tell,0.55,99,0.44,0.65
Dimir Tempo,Doomsday,0.53,99,0.42,0.63
Dimir Tempo,Painter Grindstone,0.53,93,0.42,0.63
Dimir Tempo,Blue Cloudpost,0.47,100,0.37,0.57
Dimir Tempo,Mono Red Prison,0.54,84,0.42,0.65
Dimir Tempo,UWx Control,0.62,86,0.51,0.72
Dimir Tempo,Affinity,0.38,68,0.27,0.51
Dimir Tempo,Oops! All Spells,0.57,74,0.45,0.68
Dimir Tempo,Cradle Control,0.5,94,0.4,0.6
Dimir Tempo,Death & Taxes,0.41,68,0.29,0.54
Dimir Tempo,Bant Beanstalk,0.48,69,0.36,0.6
Dimir Tempo,UWx Stoneblade,0.47,58,0.33,0.6
Dimir Tempo,Grixis Tempo,0.67,57,0.53,0.79
Dimir Tempo,Ad Nauseam Tendrils,0.52,60,0.38,0.65
Dimir Tempo,Mardu Ocelot,0.48,54,0.34,0.62
Dimir Tempo,Reanimator,0.67,48,0.52,0.8
Dimir Tempo,Cephalid Breakfast,0.53,40,0.36,0.68
Dimir Tempo,The EPIC Storm,0.71,41,0.54,0.84
Dimir Tempo,Domain Beanstalk,0.6,43,0.44,0.75
Dimir Tempo,Stiflenought,0.75,28,0.55,0.89
Dimir Tempo,Maverick,0.6,30,0.41,0.77
Dimir Tempo,Goblins,0.57,28,0.37,0.76
Dimir Tempo,Green Post,0.55,20,0.32,0.77
Dimir Tempo,Boros Initiative,0.56,25,0.35,0.76
Dimir Tempo,Burn,0.69,13,0.39,0.91
Dimir Tempo,UR Tempo,0.64,14,0.35,0.87
Dimir Tempo,Sultai Beanstalk,0.46,26,0.27,0.67
Dimir Tempo,Dredge,0.42,24,0.22,0.63
Dimir Tempo,Loam Pox,0.25,16,0.07,0.52
Dimir Tempo,Mono Black,0.29,14,0.08,0.58
Dimir Tempo,Ruby Storm,0.62,13,0.32,0.86
Dimir Tempo,Hogaak,0.65,17,0.38,0.86
