archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Dimir Tempo,0.52765957446809,3055,0.51,0.55,/Legacy/dimir-tempo
Izzet Cutter,0.49833748960931,2406,0.48,0.52,/Legacy/izzet-cutter
Mystic Forge Combo,0.52884615384615,1664,0.5,0.55,/Legacy/mystic-forge-combo
Eldrazi Stompy,0.50605481198215,1569,0.48,0.53,/Legacy/eldrazi-stompy
Lands.dec,0.50642673521851,1167,0.48,0.54,/Legacy/lands-dec
Sneak and Show,0.48375451263538,1108,0.45,0.51,/Legacy/sneak-and-show
Show and Tell,0.50654205607477,1070,0.48,0.54,/Legacy/show-and-tell
Doomsday,0.5290199809705,1051,0.5,0.56,/Legacy/doomsday
Painter Grindstone,0.48076923076923,988,0.45,0.51,/Legacy/painter-grindstone
Blue Cloudpost,0.53121801432958,977,0.5,0.56,/Legacy/blue-cloudpost
Mono Red Prison,0.46041666666667,960,0.43,0.49,/Legacy/mono-red-prison
UWx Control,0.46197502837684,881,0.43,0.5,/Legacy/uwx-control
Affinity,0.51376146788991,872,0.48,0.55,/Legacy/affinity
Oops! All Spells,0.53808948004837,827,0.5,0.57,/Legacy/oops-all-spells
Cradle Control,0.53924050632911,790,0.5,0.57,/Legacy/cradle-control
Death & Taxes,0.54123711340206,776,0.51,0.58,/Legacy/death-taxes
Bant Beanstalk,0.5324459234609,601,0.49,0.57,/Legacy/bant-beanstalk
UWx Stoneblade,0.55351170568562,598,0.51,0.59,/Legacy/uwx-stoneblade
Grixis Tempo,0.484375,576,0.44,0.53,/Legacy/grixis-tempo
Ad Nauseam Tendrils,0.56818181818182,528,0.52,0.61,/Legacy/ad-nauseam-tendrils
Mardu Ocelot,0.52224371373308,517,0.48,0.57,/Legacy/mardu-ocelot
Reanimator,0.50693069306931,505,0.46,0.55,/Legacy/reanimator
Cephalid Breakfast,0.49425287356322,435,0.45,0.54,/Legacy/cephalid-breakfast
The EPIC Storm,0.45011600928074,431,0.4,0.5,/Legacy/the-epic-storm
Domain Beanstalk,0.52820512820513,390,0.48,0.58,/Legacy/domain-beanstalk
Stiflenought,0.43380281690141,355,0.38,0.49,/Legacy/stiflenought
Maverick,0.491961414791,311,0.44,0.55,/Legacy/maverick
Goblins,0.42662116040956,293,0.37,0.49,/Legacy/goblins
Green Post,0.4982206405694,281,0.44,0.56,/Legacy/green-post
Boros Initiative,0.49193548387097,248,0.43,0.56,/Legacy/boros-initiative
