archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Mono Red Madness,0.50493745885451,4557,0.49,0.52,/Pauper/mono-red-madness
Mono Blue Terror,0.48466981132075,4240,0.47,0.5,/Pauper/mono-blue-terror
Jund Wildfire,0.50884808013356,2995,0.49,0.53,/Pauper/jund-wildfire
Mono Red Rally,0.53735343383585,2985,0.52,0.56,/Pauper/mono-red-rally
Rakdos Madness,0.47873462214411,2845,0.46,0.5,/Pauper/rakdos-madness
Grixis Affinity,0.50907071455017,2701,0.49,0.53,/Pauper/grixis-affinity
Elves,0.54745417515275,2455,0.53,0.57,/Pauper/elves
Gruul Ramp,0.52795899347623,2146,0.51,0.55,/Pauper/gruul-ramp
Mono Blue Faeries,0.52805755395683,2085,0.51,0.55,/Pauper/mono-blue-faeries
Spy Combo,0.56720160481444,1994,0.55,0.59,/Pauper/spy-combo
White Weenie,0.52235150030618,1633,0.5,0.55,/Pauper/white-weenie
UB Faeries,0.50097719869707,1535,0.48,0.53,/Pauper/ub-faeries
Caw Gates,0.56314243759178,1362,0.54,0.59,/Pauper/caw-gates
Mono Black Sacrifice,0.48305084745763,1298,0.46,0.51,/Pauper/mono-black-sacrifice
Golgari Gardens,0.51219512195122,1189,0.48,0.54,/Pauper/golgari-gardens
UWx Familiar,0.48909090909091,1100,0.46,0.52,/Pauper/uwx-familiar
Esper Affinity,0.49953917050691,1085,0.47,0.53,/Pauper/esper-affinity
Dimir Terror,0.49389671361502,1065,0.46,0.52,/Pauper/dimir-terror
GW Bogles,0.45939933259177,899,0.43,0.49,/Pauper/gw-bogles
Gruul Ponza,0.53378378378378,740,0.5,0.57,/Pauper/gruul-ponza
Altar Tron,0.49791376912378,719,0.46,0.54,/Pauper/altar-tron
Mono Red Synthesizer,0.50319488817891,626,0.46,0.54,/Pauper/mono-red-synthesizer
Mono White Heroic,0.51075268817204,558,0.47,0.55,/Pauper/mono-white-heroic
Orzhov Blade,0.48876404494382,534,0.45,0.53,/Pauper/orzhov-blade
Izzet Skred,0.47892720306513,522,0.44,0.52,/Pauper/izzet-skred
Dredge,0.45972495088409,509,0.42,0.5,/Pauper/dredge
Jeskai Ephemerate,0.51767151767152,481,0.47,0.56,/Pauper/jeskai-ephemerate
Flicker Tron,0.42699115044248,452,0.38,0.47,/Pauper/flicker-tron
Mono Red Burn,0.48654708520179,446,0.44,0.53,/Pauper/mono-red-burn
