archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Simic Ouroboroid,0.52100350058343,5142,0.51,0.53,/Standard/simic-ouroboroid
Izzet Lessons,0.51156523691893,4453,0.5,0.53,/Standard/izzet-lessons
Dimir Midrange,0.50615302300696,3738,0.49,0.52,/Standard/dimir-midrange
Jeskai Control,0.50998116760829,2655,0.49,0.53,/Standard/jeskai-control
Sultai Reanimator,0.5015873015873,2520,0.48,0.52,/Standard/sultai-reanimator
Bant Airbending,0.55042290175667,1537,0.53,0.58,/Standard/bant-airbending
Mono-Red Aggro,0.49410029498525,1356,0.47,0.52,/Standard/mono-red-aggro
Mono Green Landfall,0.55983935742972,1245,0.53,0.59,/Standard/mono-green-landfall
Azorius Control,0.50371747211896,1076,0.47,0.53,/Standard/azorius-control
Izzet Looting,0.4903748733536,987,0.46,0.52,/Standard/izzet-looting
Boros Burn,0.45503355704698,745,0.42,0.49,/Standard/boros-burn
4 Color Control,0.5133214920071,563,0.47,0.56,/Standard/4-color-control
Izzet Splash,0.52198852772467,523,0.48,0.57,/Standard/izzet-splash
Golgari Ouroboroid,0.50395256916996,506,0.46,0.55,/Standard/golgari-ouroboroid
Selesnya Landfall,0.54471544715447,492,0.5,0.59,/Standard/selesnya-landfall
Jeskai Artifacts,0.43518518518519,432,0.39,0.48,/Standard/jeskai-artifacts
4 Color Rhythm,0.45192307692308,416,0.4,0.5,/Standard/4-color-rhythm
Esper Pixie,0.485,400,0.44,0.54,/Standard/esper-pixie
Allies,0.48872180451128,399,0.44,0.54,/Standard/allies
Simic Omniscience,0.4529262086514,393,0.4,0.5,/Standard/simic-omniscience
Temur Otters,0.49162011173184,358,0.44,0.54,/Standard/temur-otters
Izzet Prowess,0.49096385542169,332,0.44,0.55,/Standard/izzet-prowess
Azorius Flash,0.57492354740061,327,0.52,0.63,/Standard/azorius-flash
Izzet Elementals,0.63787375415282,301,0.58,0.69,/Standard/izzet-elementals
Mono Black Midrange,0.43214285714286,280,0.37,0.49,/Standard/mono-black-midrange
Temur Battlecrier,0.5,266,0.44,0.56,/Standard/temur-battlecrier
Mono White Tokens,0.55605381165919,223,0.49,0.62,/Standard/mono-white-tokens
Temur Lessons,0.55348837209302,215,0.48,0.62,/Standard/temur-lessons
Dimir Bounce,0.46073298429319,191,0.39,0.53,/Standard/dimir-bounce
Bant Omniscience,0.53968253968254,189,0.47,0.61,/Standard/bant-omniscience
Boros Dragons,0.48404255319149,188,0.41,0.56,/Standard/boros-dragons
Orzhov Sacrifice,0.43850267379679,187,0.37,0.51,/Standard/orzhov-sacrifice
Mono Red Leyline,0.42245989304813,187,0.35,0.5,/Standard/mono-red-leyline
Gruul Delirium,0.51704545454545,176,0.44,0.59,/Standard/gruul-delirium
Dimir Control,0.47019867549669,151,0.39,0.55,/Standard/dimir-control
Sultai Elementals,0.47945205479452,146,0.4,0.56,/Standard/sultai-elementals
