archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Izzet Lessons,0.52641690682037,2082,0.5,0.55,/Standard/izzet-lessons
Mono Green Landfall,0.56344086021505,1860,0.54,0.59,/Standard/mono-green-landfall
Dimir Excruciator,0.49094567404427,1491,0.47,0.52,/Standard/dimir-excruciator
Izzet Elementals,0.52361673414305,1482,0.5,0.55,/Standard/izzet-elementals
Dimir Midrange,0.51894563426689,1214,0.49,0.55,/Standard/dimir-midrange
Simic Rhythm,0.495,1200,0.47,0.52,/Standard/simic-rhythm
Azorius Flash,0.51679841897233,1012,0.49,0.55,/Standard/azorius-flash
Izzet Prowess,0.56117647058824,850,0.53,0.59,/Standard/izzet-prowess
Boros Dragons,0.51308139534884,688,0.48,0.55,/Standard/boros-dragons
Temur Landfall,0.51724137931034,580,0.48,0.56,/Standard/temur-landfall
Jeskai Control,0.38502673796791,561,0.34,0.43,/Standard/jeskai-control
Mono-Red Aggro,0.50810810810811,555,0.47,0.55,/Standard/mono-red-aggro
Bant Airbending,0.50675675675676,444,0.46,0.55,/Standard/bant-airbending
Sultai Reanimator,0.44817073170732,328,0.39,0.5,/Standard/sultai-reanimator
Rakdos Monument,0.44272445820433,323,0.39,0.5,/Standard/rakdos-monument
Gruul Landfall,0.53496503496504,286,0.48,0.59,/Standard/gruul-landfall
Grixis Elementals,0.4982332155477,283,0.44,0.56,/Standard/grixis-elementals
4 Color Control,0.49753694581281,203,0.43,0.57,/Standard/4-color-control
Azorius Control,0.42541436464088,181,0.35,0.5,/Standard/azorius-control
Dimir Control,0.44692737430168,179,0.37,0.52,/Standard/dimir-control
Izzet Splash,0.38323353293413,167,0.31,0.46,/Standard/izzet-splash
4 Color Rhythm,0.48979591836735,147,0.41,0.57,/Standard/4-color-rhythm
Boros Burn,0.37234042553191,94,0.27,0.48,/Standard/boros-burn
Temur Ouroboroid,0.52173913043478,92,0.42,0.63,/Standard/temur-ouroboroid
Simic Omniscience,0.4390243902439,82,0.33,0.55,/Standard/simic-omniscience
Selesnya Landfall,0.4375,80,0.33,0.55,/Standard/selesnya-landfall
Mono Black Midrange,0.48,75,0.36,0.6,/Standard/mono-black-midrange
Azorius Otters,0.58904109589041,73,0.47,0.7,/Standard/azorius-otters
Dimir Reanimator,0.44285714285714,70,0.32,0.57,/Standard/dimir-reanimator
Esper Oculus,0.26984126984127,63,0.17,0.4,/Standard/esper-oculus
Dimir Bounce,0.49206349206349,63,0.36,0.62,/Standard/dimir-bounce
