a,b,winrate_a_vs_b,matches,ci_low,ci_high
Izzet Lessons,Izzet Lessons,0.5,238,0.43,0.57
Izzet Lessons,Mono Green Landfall,0.46,219,0.39,0.53
Izzet Lessons,Dimir Excruciator,0.6,178,0.53,0.67
Izzet Lessons,Izzet Elementals,0.51,196,0.44,0.58
Izzet Lessons,Dimir Midrange,0.53,146,0.45,0.62
Izzet Lessons,Simic Rhythm,0.48,163,0.4,0.56
Izzet Lessons,Azorius Flash,0.38,120,0.3,0.48
Izzet Lessons,Izzet Prowess,0.48,85,0.37,0.59
Izzet Lessons,Boros Dragons,0.57,84,0.46,0.68
Izzet Lessons,Temur Landfall,0.42,66,0.3,0.55
Izzet Lessons,Jeskai Control,0.76,45,0.6,0.87
Izzet Lessons,Mono-Red Aggro,0.44,54,0.31,0.59
Izzet Lessons,Bant Airbending,0.49,39,0.32,0.65
Izzet Lessons,Sultai Reanimator,0.52,29,0.33,0.71
Izzet Lessons,Rakdos Monument,0.68,38,0.51,0.82
Izzet Lessons,Gruul Landfall,0.57,37,0.39,0.73
Izzet Lessons,Grixis Elementals,0.41,34,0.25,0.59
Izzet Lessons,4 Color Control,0.73,26,0.52,0.88
Izzet Lessons,Azorius Control,0.76,17,0.5,0.93
Izzet Lessons,Dimir Control,0.72,25,0.51,0.88
Izzet Lessons,Izzet Splash,0.67,15,0.38,0.88
Izzet Lessons,4 Color Rhythm,0.44,9,0.14,0.79
Izzet Lessons,Boros Burn,0.63,8,0.24,0.91
Izzet Lessons,Temur Ouroboroid,0.67,12,0.35,0.9
Izzet Lessons,Simic Omniscience,0.75,8,0.35,0.97
Izzet Lessons,Dimir Reanimator,0.71,7,0.29,0.96
Izzet Lessons,Esper Oculus,0.83,6,0.36,1.0
Izzet Lessons,Golgari Ouroboroid,0.57,7,0.18,0.9
Mono Green Landfall,Izzet Lessons,0.54,219,0.47,0.61
Mono Green Landfall,Mono Green Landfall,0.5,200,0.43,0.57
Mono Green Landfall,Dimir Excruciator,0.65,145,0.56,0.73
Mono Green Landfall,Izzet Elementals,0.55,188,0.48,0.63
Mono Green Landfall,Dimir Midrange,0.52,110,0.42,0.61
Mono Green Landfall,Simic Rhythm,0.35,136,0.27,0.43
Mono Green Landfall,Azorius Flash,0.66,102,0.56,0.75
Mono Green Landfall,Izzet Prowess,0.48,101,0.37,0.58
Mono Green Landfall,Boros Dragons,0.54,69,0.41,0.66
Mono Green Landfall,Temur Landfall,0.55,51,0.4,0.69
Mono Green Landfall,Jeskai Control,0.79,57,0.66,0.89
Mono Green Landfall,Mono-Red Aggro,0.73,63,0.6,0.83
Mono Green Landfall,Bant Airbending,0.42,43,0.27,0.58
Mono Green Landfall,Sultai Reanimator,0.52,31,0.33,0.7
Mono Green Landfall,Rakdos Monument,0.59,29,0.39,0.76
Mono Green Landfall,Gruul Landfall,0.58,26,0.37,0.77
Mono Green Landfall,Grixis Elementals,0.64,33,0.45,0.8
Mono Green Landfall,4 Color Control,0.68,22,0.45,0.86
Mono Green Landfall,Azorius Control,0.82,17,0.57,0.96
Mono Green Landfall,Dimir Control,0.73,15,0.45,0.92
Mono Green Landfall,Izzet Splash,0.61,18,0.36,0.83
Mono Green Landfall,4 Color Rhythm,0.2,15,0.04,0.48
Mono Green Landfall,Temur Ouroboroid,0.5,6,0.12,0.88
Mono Green Landfall,Simic Omniscience,0.38,8,0.09,0.76
Mono Green Landfall,Dimir Reanimator,0.89,9,0.52,1.0
Mono Green Landfall,Esper Oculus,1.0,3,0.29,1.0
Mono Green Landfall,Golgari Ouroboroid,1.0,3,0.29,1.0
Dimir Excruciator,Izzet Lessons,0.4,178,0.33,0.47
Dimir Excruciator,Mono Green Landfall,0.35,145,0.27,0.44
Dimir Excruciator,Dimir Excruciator,0.5,138,0.41,0.59
Dimir Excruciator,Izzet Elementals,0.56,102,0.46,0.66
Dimir Excruciator,Dimir Midrange,0.39,117,0.3,0.49
Dimir Excruciator,Simic Rhythm,0.53,94,0.43,0.64
Dimir Excruciator,Azorius Flash,0.48,88,0.37,0.59
Dimir Excruciator,Izzet Prowess,0.41,66,0.29,0.54
Dimir Excruciator,Boros Dragons,0.59,51,0.44,0.72
Dimir Excruciator,Temur Landfall,0.31,48,0.19,0.46
Dimir Excruciator,Jeskai Control,0.71,41,0.54,0.84
Dimir Excruciator,Mono-Red Aggro,0.51,35,0.34,0.69
Dimir Excruciator,Bant Airbending,0.53,30,0.34,0.72
Dimir Excruciator,Sultai Reanimator,0.81,27,0.62,0.94
Dimir Excruciator,Rakdos Monument,0.56,25,0.35,0.76
Dimir Excruciator,Gruul Landfall,0.48,27,0.29,0.68
Dimir Excruciator,Grixis Elementals,0.62,26,0.41,0.8
Dimir Excruciator,4 Color Control,0.26,19,0.09,0.51
Dimir Excruciator,Azorius Control,0.58,19,0.33,0.8
Dimir Excruciator,Dimir Control,0.32,19,0.13,0.57
Dimir Excruciator,Izzet Splash,0.82,11,0.48,0.98
Dimir Excruciator,4 Color Rhythm,0.89,9,0.52,1.0
Dimir Excruciator,Boros Burn,0.38,8,0.09,0.76
Dimir Excruciator,Temur Ouroboroid,0.4,5,0.05,0.85
Dimir Excruciator,Simic Omniscience,0.78,9,0.4,0.97
Dimir Excruciator,Dimir Reanimator,0.5,6,0.12,0.88
Dimir Excruciator,Esper Oculus,1.0,4,0.4,1.0
Dimir Excruciator,Golgari Ouroboroid,0.57,7,0.18,0.9
Izzet Elementals,Izzet Lessons,0.49,196,0.42,0.56
Izzet Elementals,Mono Green Landfall,0.45,188,0.37,0.52
Izzet Elementals,Dimir Excruciator,0.44,102,0.34,0.54
Izzet Elementals,Izzet Elementals,0.5,112,0.4,0.6
Izzet Elementals,Dimir Midrange,0.41,93,0.31,0.52
Izzet Elementals,Simic Rhythm,0.74,97,0.64,0.83
Izzet Elementals,Azorius Flash,0.56,71,0.44,0.68
Izzet Elementals,Izzet Prowess,0.55,71,0.43,0.67
Izzet Elementals,Boros Dragons,0.52,58,0.38,0.65
Izzet Elementals,Temur Landfall,0.6,47,0.44,0.74
Izzet Elementals,Jeskai Control,0.56,43,0.4,0.71
Izzet Elementals,Mono-Red Aggro,0.54,41,0.37,0.69
Izzet Elementals,Bant Airbending,0.59,29,0.39,0.76
Izzet Elementals,Sultai Reanimator,0.33,24,0.16,0.55
