archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Goblins,0.49686323713927,797,0.46,0.53,/Premodern/goblins
Burn,0.48170731707317,656,0.44,0.52,/Premodern/burn
Stiflenought,0.54823889739663,653,0.51,0.59,/Premodern/stiflenought
Landstill,0.49887640449438,445,0.45,0.55,/Premodern/landstill
Enchantress,0.61519607843137,408,0.57,0.66,/Premodern/enchantress
Terrageddon,0.59090909090909,308,0.53,0.65,/Premodern/terrageddon
Elves,0.56164383561644,292,0.5,0.62,/Premodern/elves
Mono Black,0.50709219858156,282,0.45,0.57,/Premodern/mono-black
Stasis,0.49253731343284,268,0.43,0.55,/Premodern/stasis
Replenish,0.6125,240,0.55,0.67,/Premodern/replenish
Devourer Combo,0.55084745762712,236,0.48,0.62,/Premodern/devourer-combo
Tide Control,0.6140350877193,228,0.55,0.68,/Premodern/tide-control
Madness,0.38839285714286,224,0.32,0.46,/Premodern/madness
BW Control,0.50697674418605,215,0.44,0.58,/Premodern/bw-control
Survival,0.52803738317757,214,0.46,0.6,/Premodern/survival
Psychatog,0.41346153846154,208,0.35,0.48,/Premodern/psychatog
Pit Rack,0.51322751322751,189,0.44,0.59,/Premodern/pit-rack
Reanimator,0.41397849462366,186,0.34,0.49,/Premodern/reanimator
The Rock,0.43333333333333,180,0.36,0.51,/Premodern/the-rock
Oath Ponza,0.55172413793103,174,0.47,0.63,/Premodern/oath-ponza
Zoo,0.43055555555556,144,0.35,0.52,/Premodern/zoo
Aluren,0.5036496350365,137,0.42,0.59,/Premodern/aluren
Gro-a-Tog,0.49618320610687,131,0.41,0.58,/Premodern/gro-a-tog
Contamination,0.53125,128,0.44,0.62,/Premodern/contamination
Deadguy Ale,0.37007874015748,127,0.29,0.46,/Premodern/deadguy-ale
MUD,0.49193548387097,124,0.4,0.58,/Premodern/mud
The Solution,0.49557522123894,113,0.4,0.59,/Premodern/the-solution
Machine Head,0.42990654205607,107,0.33,0.53,/Premodern/machine-head
Full English Breakfast,0.53398058252427,103,0.43,0.63,/Premodern/full-english-breakfast
Survival Opposition,0.56842105263158,95,0.46,0.67,/Premodern/survival-opposition
White Weenie,0.50574712643678,87,0.4,0.61,/Premodern/white-weenie
Storm,0.32911392405063,79,0.23,0.44,/Premodern/storm
Oath Spec,0.57534246575342,73,0.45,0.69,/Premodern/oath-spec
Clerics,0.44285714285714,70,0.32,0.57,/Premodern/clerics
