archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Goblins,0.48366013071895,153,0.4,0.57,/Premodern/goblins
Stiflenought,0.59183673469388,147,0.51,0.67,/Premodern/stiflenought
Burn,0.47244094488189,127,0.38,0.56,/Premodern/burn
Enchantress,0.6063829787234,94,0.5,0.71,/Premodern/enchantress
Elves,0.53658536585366,82,0.42,0.65,/Premodern/elves
Stasis,0.54545454545455,77,0.43,0.66,/Premodern/stasis
Mono Black,0.56164383561644,73,0.44,0.68,/Premodern/mono-black
Terrageddon,0.61194029850746,67,0.49,0.73,/Premodern/terrageddon
Devourer Combo,0.55,60,0.42,0.68,/Premodern/devourer-combo
Landstill,0.54901960784314,51,0.4,0.69,/Premodern/landstill
Psychatog,0.33333333333333,51,0.21,0.48,/Premodern/psychatog
Oath Ponza,0.62162162162162,37,0.45,0.78,/Premodern/oath-ponza
The Rock,0.47058823529412,34,0.3,0.65,/Premodern/the-rock
Madness,0.38235294117647,34,0.22,0.56,/Premodern/madness
BW Control,0.44117647058824,34,0.27,0.62,/Premodern/bw-control
Reanimator,0.45454545454545,33,0.28,0.64,/Premodern/reanimator
Angry Hermit,0.65625,32,0.47,0.81,/Premodern/angry-hermit
The Solution,0.5,30,0.31,0.69,/Premodern/the-solution
Aluren,0.46666666666667,30,0.28,0.66,/Premodern/aluren
Full English Breakfast,0.58620689655172,29,0.39,0.76,/Premodern/full-english-breakfast
Survival Welder,0.39285714285714,28,0.22,0.59,/Premodern/survival-welder
Survival,0.4,25,0.21,0.61,/Premodern/survival
Storm,0.29166666666667,24,0.13,0.51,/Premodern/storm
MUD,0.39130434782609,23,0.2,0.61,/Premodern/mud
Pit Rack,0.43478260869565,23,0.23,0.66,/Premodern/pit-rack
Replenish,0.57894736842105,19,0.33,0.8,/Premodern/replenish
Gro-a-Tog,0.41176470588235,17,0.18,0.67,/Premodern/gro-a-tog
GR Aggro,0.5,16,0.25,0.75,/Premodern/gr-aggro
Contamination,0.3125,16,0.11,0.59,/Premodern/contamination
Machine Head,0.53333333333333,15,0.27,0.79,/Premodern/machine-head
UW Control,0.64285714285714,14,0.35,0.87,/Premodern/uw-control
Astral Slide,0.16666666666667,12,0.02,0.48,/Premodern/astral-slide
Oath Spec,0.33333333333333,12,0.1,0.65,/Premodern/oath-spec
BUG Control,0.27272727272727,11,0.06,0.61,/Premodern/bug-control
GW Madness,0.36363636363636,11,0.11,0.69,/Premodern/gw-madness
Pandeburst Control,0.45454545454545,11,0.17,0.77,/Premodern/pandeburst-control
The Rack,0.5,10,0.19,0.81,/Premodern/the-rack
Clerics,0.4,10,0.12,0.74,/Premodern/clerics
Zombie Infestation,0.6,10,0.26,0.88,/Premodern/zombie-infestation
Mono Green Stompy,0.6,10,0.26,0.88,/Premodern/mono-green-stompy
Deadguy Ale,0.55555555555556,9,0.21,0.86,/Premodern/deadguy-ale
Slivers,0.22222222222222,9,0.03,0.6,/Premodern/slivers
Sneak Attack,0.55555555555556,9,0.21,0.86,/Premodern/sneak-attack
Broccoli Soup,0.55555555555556,9,0.21,0.86,/Premodern/broccoli-soup
Survival Opposition,0.625,8,0.24,0.91,/Premodern/survival-opposition
Zoo,0.375,8,0.09,0.76,/Premodern/zoo
Dream Halls,0.71428571428571,7,0.29,0.96,/Premodern/dream-halls
GW Midrange,0.14285714285714,7,0.0,0.58,/Premodern/gw-midrange
White Weenie,0.66666666666667,6,0.22,0.96,/Premodern/white-weenie
Tireless Tribe Combo,0.66666666666667,6,0.22,0.96,/Premodern/tireless-tribe-combo
Dreams Ponza,0.16666666666667,6,0.0,0.64,/Premodern/dreams-ponza
Pattern Combo,0.4,5,0.05,0.85,/Premodern/pattern-combo
Tide Control,0.6,5,0.15,0.95,/Premodern/tide-control
Mono Blue Flyers,0.4,5,0.05,0.85,/Premodern/mono-blue-flyers
Tron,0.25,4,0.01,0.81,/Premodern/tron
Fluctuator,0.25,4,0.01,0.81,/Premodern/fluctuator
Oath Control,0.25,4,0.01,0.81,/Premodern/oath-control
UWB Control,0.5,4,0.07,0.93,/Premodern/uwb-control
Temping Rack,0.5,4,0.07,0.93,/Premodern/temping-rack
Great Combo,1.0,3,0.29,1.0,/Premodern/great-combo
Pyrostatic Oath,1.0,3,0.29,1.0,/Premodern/pyrostatic-oath
Mono Black Ponza,0.66666666666667,3,0.09,0.99,/Premodern/mono-black-ponza
Iggy Pop,0.33333333333333,3,0.01,0.91,/Premodern/iggy-pop
