archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Izzet Lessons,0.51579911463899,6551,0.5,0.53,/Standard/izzet-lessons
Simic Rhythm,0.5154128440367,5450,0.5,0.53,/Standard/simic-rhythm
Dimir Midrange,0.50532276330691,4415,0.49,0.52,/Standard/dimir-midrange
Jeskai Control,0.48952797749297,3199,0.47,0.51,/Standard/jeskai-control
Mono Green Landfall,0.56517477948383,3061,0.55,0.58,/Standard/mono-green-landfall
Sultai Reanimator,0.49598883850715,2867,0.48,0.51,/Standard/sultai-reanimator
Bant Airbending,0.54051333668848,1987,0.52,0.56,/Standard/bant-airbending
Mono-Red Aggro,0.49738219895288,1910,0.47,0.52,/Standard/mono-red-aggro
Izzet Elementals,0.54189944134078,1790,0.52,0.57,/Standard/izzet-elementals
Dimir Excruciator,0.49811557788945,1592,0.47,0.52,/Standard/dimir-excruciator
Azorius Flash,0.53024645257655,1339,0.5,0.56,/Standard/azorius-flash
Izzet Prowess,0.54292929292929,1188,0.51,0.57,/Standard/izzet-prowess
Izzet Looting,0.4912109375,1024,0.46,0.52,/Standard/izzet-looting
Boros Dragons,0.50684931506849,876,0.47,0.54,/Standard/boros-dragons
Azorius Control,0.47502903600465,861,0.44,0.51,/Standard/azorius-control
Boros Burn,0.44576877234803,839,0.41,0.48,/Standard/boros-burn
Izzet Splash,0.49217638691323,703,0.45,0.53,/Standard/izzet-splash
4 Color Control,0.5,674,0.46,0.54,/Standard/4-color-control
Temur Landfall,0.53055141579732,671,0.49,0.57,/Standard/temur-landfall
Simic Ouroboroid,0.51401869158878,642,0.47,0.55,/Standard/simic-ouroboroid
Selesnya Landfall,0.52830188679245,583,0.49,0.57,/Standard/selesnya-landfall
4 Color Rhythm,0.45913043478261,575,0.42,0.5,/Standard/4-color-rhythm
Golgari Ouroboroid,0.48679245283019,530,0.44,0.53,/Standard/golgari-ouroboroid
Simic Omniscience,0.43913043478261,460,0.39,0.49,/Standard/simic-omniscience
Jeskai Artifacts,0.43181818181818,440,0.38,0.48,/Standard/jeskai-artifacts
Allies,0.48674698795181,415,0.44,0.54,/Standard/allies
Grixis Elementals,0.52825552825553,407,0.48,0.58,/Standard/grixis-elementals
Rakdos Monument,0.46542553191489,376,0.41,0.52,/Standard/rakdos-monument
Temur Otters,0.49166666666667,360,0.44,0.54,/Standard/temur-otters
Esper Pixie,0.48726114649682,314,0.43,0.54,/Standard/esper-pixie
Temur Ouroboroid,0.5224358974359,312,0.47,0.58,/Standard/temur-ouroboroid
Dimir Control,0.45602605863192,307,0.4,0.51,/Standard/dimir-control
Mono Black Midrange,0.43648208469055,307,0.38,0.49,/Standard/mono-black-midrange
Gruul Landfall,0.53267973856209,306,0.48,0.59,/Standard/gruul-landfall
Dimir Bounce,0.46850393700787,254,0.41,0.53,/Standard/dimir-bounce
Temur Lessons,0.55731225296443,253,0.49,0.62,/Standard/temur-lessons
Bant Omniscience,0.55263157894737,228,0.49,0.62,/Standard/bant-omniscience
Mono Red Leyline,0.43119266055046,218,0.36,0.5,/Standard/mono-red-leyline
Temur Battlecrier,0.47222222222222,216,0.4,0.54,/Standard/temur-battlecrier
Gruul Delirium,0.51063829787234,188,0.44,0.58,/Standard/gruul-delirium
Sultai Elementals,0.44623655913978,186,0.37,0.52,/Standard/sultai-elementals
Mono White Tokens,0.51086956521739,184,0.44,0.59,/Standard/mono-white-tokens
4 Color Songcrafter,0.5,150,0.42,0.58,/Standard/4-color-songcrafter
Golgari Roots,0.41911764705882,136,0.34,0.51,/Standard/golgari-roots
Orzhov Pixie,0.416,125,0.33,0.51,/Standard/orzhov-pixie
Orzhov Sacrifice,0.40677966101695,118,0.32,0.5,/Standard/orzhov-sacrifice
Mono Green Ouroboroid,0.48275862068966,116,0.39,0.58,/Standard/mono-green-ouroboroid
Boros Aggro,0.38938053097345,113,0.3,0.49,/Standard/boros-aggro
Gruul Leyline,0.32727272727273,110,0.24,0.42,/Standard/gruul-leyline
Selesnya Gearhulk,0.52380952380952,105,0.42,0.62,/Standard/selesnya-gearhulk
Jeskai Pixie,0.53846153846154,104,0.44,0.64,/Standard/jeskai-pixie
Sultai Dragons,0.47872340425532,94,0.37,0.58,/Standard/sultai-dragons
Orzhov Lifegain,0.39130434782609,92,0.29,0.5,/Standard/orzhov-lifegain
Orzhov Midrange,0.41573033707865,89,0.31,0.53,/Standard/orzhov-midrange
